Date,bitcoin,f1v1n2e30,f1v1n4e30,f1v2n2e30,f1v2n4e30,f1v5n2e30,f1v5n4e30,f1v7n2e30,f1v7n4e30,f2v1n2e30,f2v1n4e30,f2v2n2e30,f2v2n4e30,f2v5n2e30,f2v5n4e30,f2v7n2e30,f2v7n4e30,f5v1n2e30,f5v1n4e30,f5v2n2e30,f5v2n4e30,f5v5n2e30,f5v5n4e30,f5v7n2e30,f5v7n4e30,f7v1n2e30,f7v1n4e30,f7v2n2e30,f7v2n4e30,f7v5n2e30,f7v5n4e30,f7v7n2e30,f7v7n4e30
2017-06-17,2655.88,1156.8607,1317.3616,1905.624,1154.4509,1285.478,1155.9666,1258.0349,1146.3701,1531.7742,1443.6522,1178.6481,560.5895,966.33905,-625.0857,1112.3109,1356.8572,1395.139,1129.8693,1075.9281,564.95654,1898.0039,1341.6149,968.4933,863.2455,1556.305,974.28424,989.2371,1663.6923,1303.1694,1180.8856,1449.9368,1618.5586
2017-06-18,2548.29,1140.507,1323.0183,1959.0259,1113.3739,1329.7982,1092.7349,1254.5927,1109.2638,1534.8811,1471.9991,1246.8007,561.03094,963.4399,-692.7151,1123.1283,1303.7521,1392.8905,1143.5044,1100.8722,535.67554,1895.9606,1344.2384,963.3479,867.7101,1550.5264,973.1885,1031.5481,1648.732,1314.9153,1154.3103,1447.738,1670.4276
2017-06-19,2589.6,1137.3971,1325.4174,2024.161,1079.5762,1342.4824,1121.6638,1241.5801,1097.2888,1578.6483,1520.1603,1184.684,449.25378,905.24445,-792.49176,1093.6439,1179.938,1387.7401,1159.8734,1050.5867,664.87885,1894.7344,1343.9702,958.1274,880.10114,1563.4049,971.6419,941.9533,1597.6707,1106.4806,1124.8093,1420.9056,1583.6555
2017-06-20,2721.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-21,2689.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-22,2705.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-23,2744.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-24,2608.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-25,2589.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-26,2478.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-27,2552.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-28,2574.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-29,2539.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,2480.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
