Date,Close bitcoin,Close ethereum
2017-10-20,6011.45,304.01
2017-10-21,6031.6,300.19
2017-10-22,6008.42,295.45
2017-10-23,5930.32,286.95
2017-10-24,5526.64,298.33
2017-10-25,5750.8,297.92
2017-10-26,5904.83,296.53
2017-10-27,5780.9,297.42
2017-10-28,5753.09,296.3
2017-10-29,6153.85,305.09
2017-10-30,6130.53,307.75
2017-10-31,6468.4,305.88
2017-11-01,6767.31,291.69
2017-11-02,7078.5,287.43
2017-11-03,7207.76,305.71
2017-11-04,7379.95,300.47
2017-11-05,7407.41,296.26
2017-11-06,7022.76,298.89
2017-11-07,7144.38,294.66
2017-11-08,7459.69,309.07
2017-11-09,7143.58,320.88
2017-11-10,6618.14,299.25
2017-11-11,6357.6,314.68
2017-11-12,5950.07,307.91
2017-11-13,6559.49,316.72
2017-11-14,6635.75,337.63
2017-11-15,7315.54,333.36
2017-11-16,7871.69,330.92
2017-11-17,7708.99,332.39
2017-11-18,7790.15,347.61
2017-11-19,8036.49,354.39
2017-11-20,8200.64,366.73
2017-11-21,8071.26,360.4
2017-11-22,8253.55,380.65
2017-11-23,8038.77,410.17
2017-11-24,8253.69,474.91
2017-11-25,8790.92,466.28
2017-11-26,9330.55,471.33
2017-11-27,9818.35,480.36
2017-11-28,10058.8,472.9
2017-11-29,9888.61,427.52
2017-11-30,10233.6,447.11
2017-12-01,10975.6,466.54
2017-12-02,11074.6,463.45
2017-12-03,11323.2,465.85
2017-12-04,11657.2,470.2
2017-12-05,11916.7,463.28
2017-12-06,14291.5,428.59
2017-12-07,17899.7,434.41
2017-12-08,16569.4,456.03
2017-12-09,15178.2,473.5
2017-12-10,15455.4,441.72
2017-12-11,16936.8,515.14
2017-12-12,17415.4,651.43
2017-12-13,16408.2,702.77
2017-12-14,16564.0,695.82
2017-12-15,17706.9,684.45
2017-12-16,19497.4,696.21
2017-12-17,19140.8,719.97
2017-12-18,19114.2,794.65
2017-12-19,17776.7,826.82
2017-12-20,16624.6,819.09
2017-12-21,15802.9,821.06
2017-12-22,13831.8,674.86
2017-12-23,14699.2,719.39
2017-12-24,13925.8,694.15
2017-12-25,14026.6,765.83
2017-12-26,16099.8,773.84
2017-12-27,15838.5,762.84
2017-12-28,14606.5,737.02
2017-12-29,14656.2,753.59
2017-12-30,12952.2,717.26
2017-12-31,14156.4,756.73
2018-01-01,13657.2,772.64
2018-01-02,14982.1,884.44
2018-01-03,15201.0,962.72
2018-01-04,15599.2,980.92
2018-01-05,17429.5,997.72
2018-01-06,17527.0,1041.68
2018-01-07,16477.6,1153.17
2018-01-08,15170.1,1148.53
2018-01-09,14595.4,1299.74
2018-01-10,14973.3,1255.82
2018-01-11,13405.8,1154.93
2018-01-12,13980.6,1273.2
2018-01-13,14360.2,1396.42
2018-01-14,13772.0,1366.77
2018-01-15,13819.8,1291.92
2018-01-16,11490.5,1053.69
2018-01-17,11188.6,1014.25
2018-01-18,11474.9,1036.28
2018-01-19,11607.4,1039.1
2018-01-20,12899.2,1155.15
2018-01-21,11600.1,1049.58
2018-01-22,10931.4,1003.26
